floppy version:

Level 1	DARWIN
Level 10	MILESTONE
Level 11	WAR WAR WAR
Level 12	J MCKINNON
Level 13	UNLUCK
Level 14	BLUE MONKEY
Level 15	RED DWARF
Level 16	BAD TASTE
Level 17	THE KITCHEN
Level 18	CJ
Level 19	SORT IT OUT
Level 2	ANDIE PANDY
Level 20	SMART
Level 21	VILLA3BORO2
Level 22	EARLY MORNING
Level 23	BORO4LEEDS1
Level 24	EASY LIFE
Level 25	JIMS TIES
Level 26	PARKVIEW
Level 27	NICENEASY
Level 28	GREEN CARD
Level 29	COOKIE
Level 3	GET A LIFE
Level 30	MALCY MALC
Level 31	RAVING BURK
Level 32	YOU GOT IT
Level 33	SGNIMMEL
Level 34	MINISTRY
Level 35	MAD FREDDY
Level 36	BIZARRE
Level 37	FREE SCOTLAND
Level 38	APPLE JUICE
Level 39	PAYDAY
Level 4	CARLOS
Level 40	BANANNA MOON
Level 41	BONUS
Level 42	BOUNCING
Level 43	NO MONEY
Level 44	A S F
Level 45	VISION
Level 46	SISTERS
Level 47	FAST FASHION
Level 48	CARGO
Level 49	RAB C NESBITT
Level 5	HOWIE
Level 50	RANGERS
Level 51	RAINBOW
Level 52	DOODY
Level 53	MIGHTY BAZ
Level 54	TIRED
Level 55	CONSOLIDATED
Level 56	STAY HAPPY
Level 57	AMERICA
Level 58	ANOTHER DAY
Level 59	ISOLATION
Level 6	MOOBLE
Level 60	PROMISED LAND
Level 61	DAEMONSLATE
Level 62	BIG RAB
Level 63	MIAMI VICE
Level 64	MARGARET M
Level 65	A34732473
Level 66	HELP ME
Level 67	THE EXILES
Level 68	EIGHTLANDS
Level 69	WINE AND DINE
Level 7	CSL
Level 70	NIN
Level 71	TECHNOPHOBE
Level 72	GETTING THERE
Level 73	TIME IS
Level 74	RUNNING OUT
Level 75	LORDS OF CHAOS
Level 76	NOW ITS DONE
Level 77	IM OUT OF HERE
Level 78	HERES TO A
Level 79	BETTER LIFE
Level 8	THE HUMBLE ONE
Level 80	BYE BYE BYE
Level 9	PIXIE
